weight_reading_1,weight_reading_2,pressure_reading_1,pressure_reading_2,force_reading_1,force_reading_2,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,label
131.9,126.2,17.8,35.2,298.5,298.9,0,0,0.4727307,0.10612536,0.80993253,0.34795174,0.81521446,0.680613,0.48797998,0.9410801,0.15009525,0.6924705,0.45023173,0.23907325,0.4387519,0.39057097,0.43339562,0.51917005,0.4446785,0.64668024,0.46393257,0.7917679,0.5086861,0.8071311,0.5191335,0.6571033,0.52437747,0.52963984,0.5132182,0.40057757,0.49514565,0.2526629,banana
138.6,119.3,30.5,39.8,310.5,311.7,0,0,0.4701413,0.10239822,0.8102768,0.30400148,0.81523395,0.66810226,0.48691034,0.9356705,0.15020274,0.70383793,0.452886,0.23548345,0.4434688,0.38909453,0.4377159,0.5193273,0.44770852,0.6472422,0.4656581,0.7913434,0.50766265,0.8005857,0.5196958,0.64997256,0.525667,0.52277595,0.5147427,0.3946887,0.49576747,0.248255,banana
134.1,122.1,30.9,47.7,279.2,278.2,0,0,0.47164723,0.09641484,0.8096738,0.30384848,0.81267655,0.6677935,0.4834163,0.93367827,0.1490109,0.7025245,0.45446897,0.23423931,0.44415715,0.38807145,0.4377272,0.5183868,0.44684443,0.6460903,0.4635612,0.7900406,0.5046222,0.79912287,0.5177677,0.648496,0.5247237,0.52197754,0.5144604,0.39430025,0.49607274,0.2473687,banana
126.4,132,13.1,5.4,301.5,302.4,0,0,0.47369245,0.086054556,0.80983984,0.31597906,0.8130315,0.6651059,0.48710236,0.93105096,0.15321206,0.7251513,0.4512456,0.23222616,0.4380439,0.38674197,0.4316849,0.51586837,0.44232962,0.64263415,0.46170574,0.7859727,0.5068674,0.7988421,0.5186653,0.64823174,0.5253398,0.520357,0.5149608,0.39115676,0.49674827,0.24253523,banana
128.9,129.3,10.1,6.4,323.8,324.2,0,0,0.47249904,0.08834707,0.80933356,0.32115,0.81380135,0.668411,0.4882677,0.931995,0.15278204,0.7199655,0.45022345,0.23266897,0.4377823,0.38668704,0.4320158,0.51578647,0.4431233,0.64285356,0.46282554,0.78652906,0.5080315,0.7998429,0.51922715,0.6492799,0.5253225,0.52138454,0.51442546,0.39223883,0.49584332,0.24370758,banana
128,129.7,13.2,5.9,327.6,326.5,0,0,0.47220013,0.0886642,0.8084822,0.31049445,0.81244683,0.66217697,0.4875372,0.9323655,0.15284993,0.7323137,0.4504926,0.2333442,0.43759656,0.38792092,0.43137687,0.51712143,0.44207823,0.6438806,0.4617568,0.7871056,0.5065167,0.799503,0.51797694,0.64849997,0.5244438,0.5203963,0.5139484,0.391313,0.4954434,0.24323195,banana
135.8,121.5,19.3,18.3,315.5,315.1,0,0,0.47191817,0.08778868,0.8086133,0.33401054,0.8185257,0.6916653,0.48687404,0.93130505,0.15430768,0.6832098,0.45155707,0.23089775,0.44136,0.38357958,0.43672833,0.51276064,0.44793326,0.6405382,0.46564016,0.78486574,0.5100104,0.79960346,0.5222597,0.6505353,0.5280254,0.52421355,0.51626974,0.39548168,0.49657854,0.24591537,banana
130.1,127.4,15.2,7.1,322.6,322.5,0,0,0.47191605,0.08685051,0.80775875,0.3208118,0.8126649,0.66498053,0.48779428,0.9305592,0.15406671,0.7189734,0.44953138,0.23205784,0.43703872,0.3860114,0.43129468,0.5147759,0.44251928,0.641557,0.46221736,0.7851442,0.50721514,0.7985791,0.5180906,0.6481063,0.5240715,0.52014357,0.5132469,0.39088747,0.49487534,0.24240743,banana
129,128.5,14.4,5.9,316.5,316.4,0,0,0.47152516,0.08857348,0.8087166,0.32318002,0.8136325,0.6715344,0.48684832,0.932282,0.1503869,0.70871603,0.4497917,0.2331416,0.43767208,0.38680917,0.43198028,0.5156093,0.44309336,0.64239067,0.46243086,0.78604317,0.50733525,0.79935044,0.5189035,0.64924157,0.5250501,0.5220803,0.51401496,0.39335635,0.4951975,0.24478841,banana
135.5,121.8,35.2,20.6,285.2,284.6,0,0,0.47079742,0.08997881,0.8063141,0.32619363,0.8162502,0.68517053,0.48646668,0.9283959,0.15519206,0.68635744,0.4520112,0.23063527,0.44248512,0.3835075,0.4377774,0.51306206,0.44859403,0.64101493,0.46595958,0.78506786,0.50885975,0.798697,0.5210159,0.64930815,0.5268578,0.52283084,0.5152506,0.3943349,0.4955486,0.24542567,banana
